	elin	lena	oscar	agg	model	mean_non_agg
elin	1.0	0.5656573144896965	0.6709376401317971	0.9825190871568644	0.3354589068322246	0.6182974773107468
lena	0.5656573144896965	1.0	0.5930503745130148	0.589288138976903	0.30661352392182967	0.5793538445013555
oscar	0.6709376401317971	0.5930503745130148	1.0	0.6939822090189128	0.3178242678208895	0.631994007322406
agg	0.9825190871568644	0.589288138976903	0.6939822090189128	1.0	0.3422511520355918	0.7552631450508934
model	0.3354589068322246	0.30661352392182967	0.3178242678208895	0.3422511520355918	1.0	0.3199655661916479
