	elin	lena	oscar	agg	model	mean_non_agg
elin	1.0	0.6257142857142857	0.7057142857142857	0.9828571428571429	0.6514285714285715	0.6657142857142857
lena	0.6257142857142857	1.0	0.7171428571428572	0.6428571428571429	0.68	0.6714285714285715
oscar	0.7057142857142857	0.7171428571428572	1.0	0.7228571428571429	0.7314285714285714	0.7114285714285715
agg	0.9828571428571429	0.6428571428571429	0.7228571428571429	1.0	0.6514285714285715	0.7828571428571429
model	0.6514285714285715	0.68	0.7314285714285714	0.6514285714285715	1.0	0.6876190476190476
