	elin	lena	oscar	agg	model	mean_non_agg
elin	1.0	0.4867540808134869	0.4992900381137434	0.6727790408601235	0.35900059342323354	0.4930220594636152
lena	0.4867540808134869	1.0	0.5337192208746784	0.7508785978023933	0.42487898032597593	0.5102366508440825
oscar	0.4992900381137434	0.5337192208746784	1.0	0.7819266116290973	0.42657249761994376	0.5165046294942108
agg	0.6727790408601235	0.7508785978023933	0.7819266116290973	1.0	0.4473684210526315	0.7351947500972047
model	0.35900059342323354	0.42487898032597593	0.42657249761994376	0.4473684210526315	1.0	0.40348402378971776
