	elin	lena	oscar	agg	model	mean_non_agg
elin	1.0	0.5727720845147047	0.5715478306839857	0.6884920634920636	0.19114347615498273	0.5721599575993452
lena	0.5727720845147047	1.0	0.5793134624738199	0.7712582399990197	0.1725113655125242	0.5760427734942621
oscar	0.5715478306839857	0.5793134624738199	1.0	0.8133394146264908	0.20391959571108173	0.5754306465789027
agg	0.6884920634920636	0.7712582399990197	0.8133394146264908	1.0	0.18294092889681124	0.757696572705858
model	0.19114347615498273	0.1725113655125242	0.20391959571108173	0.18294092889681124	1.0	0.18919147912619624
