	elin	lena	oscar	agg	model	mean_non_agg
elin	1.0	0.5727720845147047	0.5715478306839857	0.6884920634920636	0.3719152709176002	0.5721599575993452
lena	0.5727720845147047	1.0	0.5793134624738199	0.7712582399990194	0.3057110726330398	0.5760427734942621
oscar	0.5715478306839857	0.5793134624738199	1.0	0.8133394146264908	0.3505667859490948	0.5754306465789027
agg	0.6884920634920636	0.7712582399990194	0.8133394146264908	1.0	0.33098467924827046	0.757696572705858
model	0.3719152709176002	0.3057110726330398	0.3505667859490948	0.33098467924827046	1.0	0.34273104316657826
