	elin	lena	oscar	agg	model	mean_non_agg
elin	1.0	0.5727720845147047	0.5715478306839857	0.6884920634920636	0.4617605543534924	0.5721599575993452
lena	0.5727720845147047	1.0	0.5793134624738199	0.7712582399990194	0.47798386255582587	0.5760427734942621
oscar	0.5715478306839857	0.5793134624738199	1.0	0.8133394146264908	0.5421553630937833	0.5754306465789027
agg	0.6884920634920636	0.7712582399990194	0.8133394146264908	1.0	0.5374911222822467	0.757696572705858
model	0.4617605543534924	0.47798386255582587	0.5421553630937833	0.5374911222822467	1.0	0.49396659333436715
