	elin	lena	oscar	agg	model	mean_non_agg
elin	1.0	0.4867540808134867	0.4992900381137434	0.6727790408601236	0.44129916567342076	0.493022059463615
lena	0.4867540808134867	1.0	0.5337192208746784	0.7508785978023933	0.4906822488945042	0.5102366508440825
oscar	0.4992900381137434	0.5337192208746784	1.0	0.7819266116290972	0.5489588749971739	0.5165046294942108
agg	0.6727790408601236	0.7508785978023933	0.7819266116290972	1.0	0.557731188466948	0.7351947500972047
model	0.44129916567342076	0.4906822488945042	0.5489588749971739	0.557731188466948	1.0	0.4936467631883663
