	elin	lena	oscar	agg	model	mean_non_agg
elin	1.0	0.3447004344843356	0.4881878584814584	0.972561214623566	0.09637788065320241	0.41644414648289696
lena	0.3447004344843356	1.0	0.39520351881589044	0.3831338211863571	0.06567946005842662	0.36995197665011303
oscar	0.4881878584814584	0.39520351881589044	1.0	0.5240498520979657	0.05835173481560452	0.4416956886486745
agg	0.972561214623566	0.3831338211863571	0.5240498520979657	1.0	0.11282372972488564	0.6265816293026296
model	0.09637788065320241	0.06567946005842662	0.05835173481560452	0.11282372972488564	1.0	0.07346969184241119
