	elin	lena	oscar	agg	model	mean_non_agg
elin	1.0	0.6085714285714285	0.6171428571428571	0.7485714285714286	0.4257142857142857	0.6128571428571428
lena	0.6085714285714285	1.0	0.6685714285714286	0.8171428571428572	0.5371428571428571	0.6385714285714286
oscar	0.6171428571428571	0.6685714285714286	1.0	0.84	0.5628571428571428	0.6428571428571428
agg	0.7485714285714286	0.8171428571428572	0.84	1.0	0.54	0.8019047619047619
model	0.4257142857142857	0.5371428571428571	0.5628571428571428	0.54	1.0	0.5085714285714286
