	elin	lena	oscar	agg	model	mean_non_agg
elin	1.0	0.6085714285714285	0.6171428571428571	0.7485714285714286	0.35714285714285715	0.6128571428571428
lena	0.6085714285714285	1.0	0.6685714285714286	0.8171428571428572	0.38	0.6385714285714286
oscar	0.6171428571428571	0.6685714285714286	1.0	0.84	0.3628571428571429	0.6428571428571428
agg	0.7485714285714286	0.8171428571428572	0.84	1.0	0.38571428571428573	0.8019047619047619
model	0.35714285714285715	0.38	0.3628571428571429	0.38571428571428573	1.0	0.3666666666666667
