	elin	lena	oscar	agg	model	mean_non_agg
elin	1.0	0.5727720845147047	0.5715478306839857	0.6884920634920636	0.3515670572877116	0.5721599575993452
lena	0.5727720845147047	1.0	0.5793134624738199	0.7712582399990197	0.37249887713463875	0.5760427734942621
oscar	0.5715478306839857	0.5793134624738199	1.0	0.8133394146264908	0.4208983495036205	0.5754306465789027
agg	0.6884920634920636	0.7712582399990197	0.8133394146264908	1.0	0.40032045423664014	0.757696572705858
model	0.3515670572877116	0.37249887713463875	0.4208983495036205	0.40032045423664014	1.0	0.38165476130865694
