nome,tot,male,female,is_male,is_female
GIUSEPPE,204446,204399,47,True,False
GIOVANNI,152660,152607,53,True,False
ANTONIO,149463,149458,5,True,False
FRANCESCO,116954,116951,3,True,False
MARIO,93718,93718,0,True,False
LUIGI,93106,93094,12,True,False
ROBERTO,73949,73949,0,True,False
PAOLO,71182,71177,5,True,False
MARIA,69007,77,68930,False,True
ANGELO,68449,68433,16,True,False
FRANCO,60392,60392,0,True,False
MARCO,59561,59551,10,True,False
DOMENICO,58402,58402,0,True,False
VINCENZO,58268,58268,0,True,False
PIETRO,58140,58140,0,True,False
SALVATORE,56522,56513,9,True,False
CARLO,54302,54294,8,True,False
MICHELE,49578,49560,18,True,False
CLAUDIO,46951,46948,3,True,False
GIORGIO,44768,44768,0,True,False
ANDREA,44570,44455,115,True,False
SERGIO,41658,41658,0,True,False
ALESSANDRO,41641,41641,0,True,False
MASSIMO,41629,41628,1,True,False
STEFANO,40747,40744,3,True,False
BRUNO,40455,40455,0,True,False
MAURO,39619,39612,7,True,False
LUCIANO,38301,38301,0,True,False
MAURIZIO,37692,37692,0,True,False
ALBERTO,36350,36346,4,True,False
NICOLA,35442,35383,59,True,False
GIANCARLO,33738,33738,0,True,False
ENRICO,30371,30364,7,True,False
PASQUALE,28026,28014,12,True,False
GIANFRANCO,26854,26853,1,True,False
FABIO,26528,26528,0,True,False
RENATO,25268,25268,0,True,False
LUCA,25189,25164,25,True,False
ALDO,25091,25086,5,True,False
ANNA,24648,0,24648,False,True
LORENZO,24333,24333,0,True,False
DANIELE,22127,22121,6,True,False
ANTONINO,21896,21892,4,True,False
GIACOMO,21763,21763,0,True,False
GIAN,21693,21682,11,True,False
VITTORIO,21205,21205,0,True,False
RAFFAELE,20950,20948,2,True,False
FABRIZIO,20538,20533,5,True,False
RENZO,17778,17774,4,True,False
GUIDO,17381,17381,0,True,False
ENZO,17073,17073,0,True,False
GABRIELE,17043,17028,15,True,False
ADRIANO,16761,16761,0,True,False
RICCARDO,16334,16334,0,True,False
GIULIANO,16170,16170,0,True,False
PIERO,15949,15949,0,True,False
GIANNI,15898,15883,15,True,False
PIER,15826,15826,0,True,False
GAETANO,15764,15764,0,True,False
DARIO,15288,15288,0,True,False
EMILIO,15277,15267,10,True,False
DAVIDE,15124,15119,5,True,False
ROCCO,15076,15076,0,True,False
FILIPPO,14798,14793,5,True,False
VITO,14541,14538,3,True,False
SILVANO,14516,14516,0,True,False
MARCELLO,14476,14476,0,True,False
MATTEO,14113,14113,0,True,False
CARMINE,13955,13950,5,True,False
PIERLUIGI,13886,13886,0,True,False
GIULIO,13820,13820,0,True,False
PAOLA,13803,0,13803,False,True
SANDRO,13364,13364,0,True,False
CESARE,13294,13288,6,True,False
UMBERTO,13078,13078,0,True,False
ALFREDO,12471,12471,0,True,False
LEONARDO,12269,12269,0,True,False
CARMELO,12203,12198,5,True,False
WALTER,11947,11947,0,True,False
FLAVIO,11666,11661,5,True,False
FAUSTO,11613,11613,0,True,False
ELIO,11483,11483,0,True,False
ARMANDO,11401,11396,5,True,False
SILVIO,11362,11362,0,True,False
EUGENIO,11144,11144,0,True,False
LAURA,10897,0,10897,False,True
ANNAMARIA,10865,0,10865,False,True
GINO,10727,10723,4,True,False
DANIELA,10589,0,10589,False,True
DONATO,10542,10542,0,True,False
GIOVANNA,10444,6,10438,False,True
EZIO,10426,10426,0,True,False
GIANLUCA,10393,10373,20,True,False
DIEGO,10276,10276,0,True,False
FEDERICO,10197,10197,0,True,False
UGO,10174,10174,0,True,False
AGOSTINO,10141,10141,0,True,False
ERNESTO,10059,10059,0,True,False
FRANCESCA,9680,0,9680,False,True
SIMONE,9618,9601,17,True,False
DANILO,9548,9548,0,True,False
ALFONSO,9514,9514,0,True,False
FELICE,9492,9491,1,True,False
GRAZIANO,9441,9432,9,True,False
PATRIZIA,9368,0,9368,False,True
SEBASTIANO,9343,9343,0,True,False
VALTER,9312,9312,0,True,False
FERNANDO,9236,9236,0,True,False
MASSIMILIANO,9010,9010,0,True,False
ROSARIO,8987,8987,0,True,False
ANTONELLA,8879,5,8874,False,True
CORRADO,8858,8858,0,True,False
ANGELA,8825,2,8823,False,True
VALERIO,8665,8665,0,True,False
EMANUELE,8547,8532,15,True,False
DINO,8502,8502,0,True,False
ATTILIO,8342,8337,5,True,False
TOMMASO,8302,8302,0,True,False
LINO,8238,8238,0,True,False
LUCIO,8105,8105,0,True,False
GIANLUIGI,8105,8105,0,True,False
MARINO,7954,7954,0,True,False
ELENA,7951,5,7946,False,True
GIUSEPPINA,7867,3,7864,False,True
GERARDO,7844,7844,0,True,False
LUCIA,7775,0,7775,False,True
LIVIO,7759,7759,0,True,False
SILVIA,7729,1,7728,False,True
ROMANO,7720,7720,0,True,False
ITALO,7568,7568,0,True,False
COSIMO,7458,7458,0,True,False
ETTORE,7297,7291,6,True,False
AUGUSTO,7211,7211,0,True,False
CARLA,7210,0,7210,False,True
REMO,7152,7152,0,True,False
FERDINANDO,7115,7115,0,True,False
STEFANIA,7087,0,7087,False,True
TIZIANO,6905,6905,0,True,False
CRISTINA,6856,0,6856,False,True
GIOVANNIBATTISTA,6748,6748,0,True,False
BARBARA,6739,0,6739,False,True
IVANO,6639,6639,0,True,False
MONICA,6634,0,6634,False,True
