	elin	lena	oscar	agg	model	mean_non_agg
elin	1.0	0.23545533485292525	0.29942145771992357	0.9476158998216446	0.2687532644943549	0.2674383962864244
lena	0.23545533485292525	1.0	0.2956123640385915	0.31079598768287364	0.3735433951710636	0.2655338494457584
oscar	0.29942145771992357	0.2956123640385915	1.0	0.3623878923766817	0.3168578463755931	0.29751691087925747
agg	0.9476158998216446	0.31079598768287364	0.3623878923766817	1.0	0.30829134218964727	0.5402665932937333
model	0.2687532644943549	0.3735433951710636	0.3168578463755931	0.30829134218964727	1.0	0.3197181686803372
