	elin	lena	oscar	agg	model	mean_non_agg
elin	1.0	0.4867540808134867	0.4992900381137434	0.6727790408601236	0.5104368409726705	0.493022059463615
lena	0.4867540808134867	1.0	0.5337192208746784	0.7508785978023933	0.552822806036892	0.5102366508440825
oscar	0.4992900381137434	0.5337192208746784	1.0	0.7819266116290972	0.5580908615237619	0.5165046294942108
agg	0.6727790408601236	0.7508785978023933	0.7819266116290972	1.0	0.596116504854369	0.7351947500972047
model	0.5104368409726705	0.552822806036892	0.5580908615237619	0.596116504854369	1.0	0.5404501695111081
