	elin	lena	oscar	agg	model	mean_non_agg
elin	1.0	0.5727720845147047	0.5715478306839857	0.6884920634920636	0.3767217014005146	0.5721599575993452
lena	0.5727720845147047	1.0	0.5793134624738199	0.7712582399990197	0.3932212880302282	0.5760427734942621
oscar	0.5715478306839857	0.5793134624738199	1.0	0.8133394146264908	0.4222018984423847	0.5754306465789027
agg	0.6884920634920636	0.7712582399990197	0.8133394146264908	1.0	0.42205418959150304	0.757696572705858
model	0.3767217014005146	0.3932212880302282	0.4222018984423847	0.42205418959150304	1.0	0.39738162929104254
