	elin	lena	oscar	agg	model	mean_non_agg
elin	1.0	0.5727720845147047	0.5715478306839857	0.6884920634920636	0.26406770219875875	0.5721599575993452
lena	0.5727720845147047	1.0	0.5793134624738199	0.7712582399990197	0.2961236425080269	0.5760427734942621
oscar	0.5715478306839857	0.5793134624738199	1.0	0.8133394146264908	0.28348072009030156	0.5754306465789027
agg	0.6884920634920636	0.7712582399990197	0.8133394146264908	1.0	0.2930596233066994	0.757696572705858
model	0.26406770219875875	0.2961236425080269	0.28348072009030156	0.2930596233066994	1.0	0.2812240215990291
