	elin	lena	oscar	agg	model	mean_non_agg
elin	1.0	0.464027639027639	0.5385375137497325	0.9651054657704576	0.4971651507306128	0.5012825763886857
lena	0.464027639027639	1.0	0.5081445437574948	0.5168419488329373	0.4601652343587827	0.48608609139256687
oscar	0.5385375137497325	0.5081445437574948	1.0	0.5794468883106134	0.49882061951937534	0.5233410287536135
agg	0.9651054657704576	0.5168419488329373	0.5794468883106134	1.0	0.5154216886665445	0.6871314343046695
model	0.4971651507306128	0.4601652343587827	0.49882061951937534	0.5154216886665445	1.0	0.4853836682029236
