	elin	lena	oscar	agg	model	mean_non_agg
elin	1.0	0.4867540808134867	0.4992900381137434	0.6727790408601236	0.16634735871917816	0.493022059463615
lena	0.4867540808134867	1.0	0.5337192208746784	0.7508785978023933	0.10039310553371639	0.5102366508440825
oscar	0.4992900381137434	0.5337192208746784	1.0	0.7819266116290972	0.13562807503075036	0.5165046294942108
agg	0.6727790408601236	0.7508785978023933	0.7819266116290972	1.0	0.13719476687759613	0.7351947500972047
model	0.16634735871917816	0.10039310553371639	0.13562807503075036	0.13719476687759613	1.0	0.13412284642788164
