	elin	lena	oscar	agg	model	mean_non_agg
elin	1.0	0.54	0.5571428571428572	0.9657142857142857	0.5171428571428571	0.5485714285714285
lena	0.54	1.0	0.6257142857142857	0.5742857142857143	0.6771428571428572	0.5828571428571427
oscar	0.5571428571428572	0.6257142857142857	1.0	0.5914285714285714	0.58	0.5914285714285714
agg	0.9657142857142857	0.5742857142857143	0.5914285714285714	1.0	0.5257142857142857	0.7104761904761906
model	0.5171428571428571	0.6771428571428572	0.58	0.5257142857142857	1.0	0.5914285714285715
