	elin	lena	oscar	agg	model	mean_non_agg
elin	1.0	0.23545533485292525	0.29942145771992357	0.9476158998216446	0.17049452697419865	0.2674383962864244
lena	0.23545533485292525	1.0	0.2956123640385915	0.31079598768287364	0.13786602991077046	0.2655338494457584
oscar	0.29942145771992357	0.2956123640385915	1.0	0.3623878923766817	0.13129911071378164	0.29751691087925747
agg	0.9476158998216446	0.31079598768287364	0.3623878923766817	1.0	0.1863950571970392	0.5402665932937333
model	0.17049452697419865	0.13786602991077046	0.13129911071378164	0.1863950571970392	1.0	0.14655322253291692
