	elin	lena	oscar	agg	model	mean_non_agg
elin	1.0	0.4867540808134867	0.4992900381137434	0.6727790408601236	0.42371837090229236	0.493022059463615
lena	0.4867540808134867	1.0	0.5337192208746784	0.7508785978023933	0.49689876856211523	0.5102366508440825
oscar	0.4992900381137434	0.5337192208746784	1.0	0.7819266116290972	0.5314538544443814	0.5165046294942108
agg	0.6727790408601236	0.7508785978023933	0.7819266116290972	1.0	0.5453995090754988	0.7351947500972047
model	0.42371837090229236	0.49689876856211523	0.5314538544443814	0.5453995090754988	1.0	0.484023664636263
