	elin	lena	oscar	agg	model	mean_non_agg
elin	1.0	0.4867540808134869	0.4992900381137434	0.6727790408601235	0.33552804314018536	0.4930220594636152
lena	0.4867540808134869	1.0	0.5337192208746784	0.7508785978023933	0.40940568022440404	0.5102366508440825
oscar	0.4992900381137434	0.5337192208746784	1.0	0.7819266116290973	0.433068108439405	0.5165046294942108
agg	0.6727790408601235	0.7508785978023933	0.7819266116290973	1.0	0.4431539758806122	0.7351947500972047
model	0.33552804314018536	0.40940568022440404	0.433068108439405	0.4431539758806122	1.0	0.39266727726799816
